"Story","Title","Result","Date","Stability","Duration (s)"
"Eliminar un autor","Eliminación de autor exitoso","SUCCESS","2023-02-23T16:41:47.3516495-05:00[America/Bogota]","0.0","1.3"
"Eliminar un autor","Eliminación de autor no exitoso","SUCCESS","2023-02-23T16:41:48.6627369-05:00[America/Bogota]","0.0","1.07"
