"Story","Title","Result","Date","Stability","Duration (s)"
"Crear un autor","Creación de autor exitoso","ERROR","2023-02-23T16:23:14.4886431-05:00[America/Bogota]","0.0","0.8"
"Crear un autor","Creación de autor no exitoso","ERROR","2023-02-23T16:23:15.3000671-05:00[America/Bogota]","0.0","0.06"
